city,state,date,type,description,source,severity
Portland,OR,Unknown,POLICE_VIOLENCE,"Blind man handcuffed, dragged by federal agents at ICE facility, he says - KGW8(opens in a new tab)",https://www.kgw.com/article/news/local/protests/dhs-blind-protester-ice-facility/283-fb7e85ec-3009-4096-805b-bb14df6fc1fe,8
Chicago,IL,Unknown,POLICE_VIOLENCE,Chase involving federal agents led to a crash and angry community response in Chicago - CNN(opens in a new tab),https://www.cnn.com/2025/10/14/us/chicago-ice-protesters-crash,7
Chicago,IL,Unknown,POLICE_VIOLENCE,"15-Year-Old U.S. Citizen Taken By Feds For 5 Hours After East Side Protest, Attorney Says - Block Club Chicago(opens in a new tab)",https://blockclubchicago.org/2025/10/15/15-year-old-u-s-citizen-disappeared-for-5-hours-by-feds-after-east-side-protest-attorney-says/?utm_content=buffer8e915&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,8
Portland,OR,Unknown,POLICE_VIOLENCE,"Federal officer blasts chemical spray into vocal but nonviolent Portland protester, video shows - oregonlive.com(opens in a new tab)",https://www.oregonlive.com/crime/2025/10/federal-officer-blasts-chemical-spray-into-vocal-but-nonviolent-portland-protester-video-shows.html,8
Chicago,IL,Unknown,POLICE_VIOLENCE,"After Midnight Raid on Chicago Apartment Building, No One Was Charged With a Crime — ProPublica(opens in a new tab)",https://www.propublica.org/article/chicago-venezuela-immigration-ice-fbi-raids-no-criminal-charges,8
Des Plaines,IL,Unknown,POLICE_VIOLENCE,"U.S. citizen tased and detained during ICE operation in Des Plaines, Illinois - CBS News(opens in a new tab)",https://www.cbsnews.com/chicago/news/u-s-citizen-tased-detained-during-ice-operation-des-plaines/,8
Taylorsville,UT,Unknown,POLICE_VIOLENCE,Deaf man files federal lawsuit following ICE incident in Taylorsville - FOX 13(opens in a new tab),https://www.fox13now.com/news/local-news/northern-utah/deaf-man-files-federal-lawsuit-following-ice-incident-in-taylorsville,7
Elgin,IL,Unknown,POLICE_VIOLENCE,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,8
San Jose,CA,Unknown,ICE_OPERATION,"ACLU sues ICE in S.F. to stop courthouse arrests, 'inhumane' detention - Mission Local(opens in a new tab)",https://missionlocal.org/2025/09/sf-aclu-lawsuit-ice-sansome/,7
Chicago,IL,Unknown,POLICE_VIOLENCE,Judge orders restrictions on federal tactics against ICE protesters after Chicago-area pastor shot with pepper balls - CNN(opens in a new tab),https://www.cnn.com/2025/10/10/us/illinois-judge-ruling-ice-protests-pastor-chicago-hnk,8
